117,16,3,2,3,2,4,0,3,1,1,2,0,6,2,0,0,0,0,2,0,0,0,0,0,2,9,0,1,0,
7,120,0,2,0,1,3,0,2,0,1,1,0,1,1,1,6,0,3,0,0,0,0,6,0,0,3,0,0,0,
8,0,117,0,2,2,1,0,0,1,1,2,0,1,1,4,0,1,3,3,0,4,2,1,1,2,8,0,1,0,
4,0,1,143,11,0,1,0,10,0,0,0,0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
3,3,0,3,189,0,3,2,19,0,0,0,0,13,7,1,1,0,0,1,0,0,2,0,0,1,2,2,0,1,
8,7,9,0,0,170,2,1,2,0,1,2,0,0,1,2,1,0,1,0,0,4,1,11,2,5,27,0,0,0,
6,1,1,1,0,0,215,0,0,0,2,0,2,0,0,2,7,6,10,0,0,0,0,9,3,0,4,2,0,0,
0,2,2,2,0,1,5,197,3,0,0,0,1,0,0,1,18,5,0,1,0,0,1,2,3,7,2,0,0,0,
8,2,2,3,17,1,0,0,197,0,1,0,0,0,5,2,0,0,1,1,0,0,0,3,0,2,5,0,1,0,
1,0,3,0,0,0,0,0,0,160,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,1,0,
0,0,2,0,2,0,10,0,5,0,116,0,0,0,0,0,0,0,2,1,0,1,0,2,1,1,7,0,0,0,
8,0,6,0,0,0,0,0,0,0,0,184,0,4,1,1,0,1,25,2,1,0,1,1,0,0,4,2,26,0,
0,1,0,0,0,0,2,0,0,0,0,0,138,12,0,0,0,3,0,0,0,0,0,1,0,0,4,0,1,0,
5,3,0,0,4,1,3,0,0,0,0,1,1,220,7,1,0,1,6,1,0,0,0,1,0,0,1,1,2,0,
0,0,1,0,3,1,0,0,28,0,0,3,0,13,196,2,0,0,2,0,0,0,0,0,0,0,3,0,0,0,
3,4,5,4,0,4,1,1,5,3,1,1,0,2,0,161,28,1,0,0,0,0,1,2,0,2,33,0,0,0,
0,15,1,0,0,5,9,5,0,2,1,0,0,0,0,4,189,2,0,1,0,0,1,10,0,1,0,0,0,0,
5,2,2,0,0,2,1,2,0,0,0,1,1,11,0,0,4,198,9,0,0,0,0,4,0,0,3,2,1,0,
3,2,1,0,4,1,12,0,0,2,3,6,0,1,1,1,1,1,205,0,0,1,0,5,1,1,6,0,1,0,
1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,223,1,1,1,0,0,4,4,0,0,0,
0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,4,156,0,0,1,1,2,1,0,0,15,
4,1,4,0,0,4,0,1,0,1,2,0,0,0,0,1,0,0,0,6,0,202,0,3,5,3,6,0,1,0,
0,0,1,2,6,0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,227,0,0,1,3,0,0,0,
1,4,0,0,1,12,3,2,1,0,1,0,0,0,0,0,3,0,2,2,0,0,0,186,25,20,4,0,0,0,
0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,33,142,12,0,0,0,0,
0,1,0,3,2,2,0,1,27,0,1,0,0,0,0,3,0,0,0,1,0,0,1,10,22,188,1,0,0,1,
4,1,6,0,0,10,2,0,3,0,2,2,0,0,0,10,1,0,0,0,0,2,4,1,2,1,218,0,0,3,
2,0,0,0,7,0,2,0,2,0,1,2,0,9,0,0,0,2,6,0,0,0,0,0,0,0,0,132,0,0,
5,0,5,0,1,0,0,0,6,0,1,14,0,0,2,3,1,0,5,0,0,0,1,1,0,0,6,0,205,0,
0,0,0,0,3,0,0,1,5,0,0,0,0,0,12,1,0,0,1,3,9,1,0,1,1,6,3,0,1,202,
